Number,Volcano Name,Country,Region,Latitude,Longitude,Elev
140211,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552
80417,Pagan,United States,Mariana Is-C Pacific,18.13,145.8,570
60415,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875
110203,Pavlof,United States,Alaska Peninsula,55.42,-161.9,2519
60103,Peuet Sague,Indonesia,Sumatra,4.914,96.329,2801
703083,Pinatubo,Philippines,Luzon-Philippines,15.13,120.35,1486
160021,Piparo,Trinidad,Trinidad,10,-61,140
150704,Planchon-Peteroa,Chile,Chile-C,-35.24,-70.57,4107
140504,Poas,Costa Rica,Costa Rica,10.2,-84.233,2708
140109,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426
150106,Purace,Colombia,Colombia,2.32,-76.4,4650
150509,Putana,Chile,Chile-N,-22.57,-67.87,5890
50214,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.271,152.203,688
604071,Ranakah,Indonesia,Lesser Sunda Is,-8.62,120.52,2100
40203,Raoul Island,New Zealand,Kermadec Is,-29.27,-177.92,516
60334,Raung,Indonesia,Java,-8.125,114.042,3332
110303,Redoubt,United States,Alaska-SW,60.48,-152.75,3108
150201,Reventador,Ecuador,Ecuador,-0.078,-77.656,3562
170101,Reykjaneshryggur,Iceland,Iceland-SW,63.67,-23.33,80
140502,Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916
60403,Rinjani,Indonesia,Lesser Sunda Is,-8.42,116.47,3726
50107,Ritter Island,Papua New Guinea,New Guinea-NE of,-5.52,148.121,140
40110,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797
804201,Ruby,United States,Mariana Is-C Pacific,15.62,145.57,-230
150102,Ruiz,Colombia,Colombia,4.895,-75.322,5321
40113,Rumble III,New Zealand,New Zealand,-35.745,178.478,-140
1504003,Sabancaya,Peru,Peru,-15.78,-71.85,5967
1504006,Sabancaya,Peru,Peru,-15.783,-71.85,5967
80208,Sakura-jima,Japan,Kyushu-Japan,31.58,130.67,1117
140402,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745
140310,San Miguel,El Salvador,El Salvador,13.431,-88.272,2130
150209,Sangay,Ecuador,Ecuador,-2.03,-78.33,5230
60405,Sangeang Api,Indonesia,Lesser Sunda Is,-8.18,119.058,1949
140203,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772
90024,Sarychev Peak,Russia,Kuril Is,48.092,153.2,1496
