time,id,depth,mag,nst,error
2020-07-21T19:09:15.810Z,uu60402912,0.74,0.95,8,0.61
2020-07-21T19:09:02.730Z,nn00761915,0.9,1.6,12,
2020-07-21T19:07:38.179Z,ak0209c1g9nt,103.3,2,,
2020-07-21T19:04:24.460Z,nc73429096,0.61,0.32,10,0.44
2020-07-21T19:03:23.340Z,hv72054217,31.45000076,2,43,0.62
2020-07-21T18:56:03.830Z,nc73429086,1.82,0.56,10,0.31
2020-07-21T18:41:28.766Z,ak0209c123ov,71.1,2.1,1010,
2020-07-21T18:30:35.510Z,nc73429076,-0.03,1.16,13,0.3
2020-07-21T18:30:02.649Z,nn00761912,4.3,1.8,23,
2020-07-21T18:18:02.480Z,ci38601250,8.6,1.03,32,0.35
2020-07-21T18:03:44.310Z,hv72054147,31.79000092,2.1,47,0.56
2020-07-21T18:02:00.097Z,us7000asin,124.77,4.9,,5.1
2020-07-21T18:01:31.957Z,ak0209c0tjl7,0,1.9,,
2020-07-21T18:00:18.290Z,hv72054142,31.88999939,1.94,45,0.58
2020-07-21T18:00:14.600Z,nc73429071,2.22,0,21,0.21
2020-07-21T18:00:00.080Z,ci38601226,2.16,0.71,11,0.34
2020-07-21T17:52:19.895Z,us7000asgl,1,3.1,,1.4
2020-07-21T17:47:51.980Z,hv72054122,31.79000092,1.98,49,0.6
2020-07-21T17:37:38.022Z,us7000asge,1,3.3,,1.2
2020-07-21T17:37:00.600Z,nc73429061,23.66,1.74,21,0.51
2020-07-21T17:32:50.790Z,hv72054112,31.65999985,1.89999998,38,0.67
2020-07-21T17:22:51.030Z,uu60402897,-2,1.44,12,1.13
2020-07-21T17:21:21.420Z,uu60402892,3.44,2.35,20,0.75
2020-07-21T17:14:22.040Z,hv72054087,31.95000076,2.45,52,0.43
2020-07-21T17:13:42.420Z,ci38601114,3.53,1.5,32,0.42
2020-07-21T17:11:49.630Z,ci38601106,0.04,0.92,5,0.56
2020-07-21T17:01:58.160Z,pr2020203002,5,2.65,21,0.44
2020-07-21T17:01:48.330Z,ci38601090,4.19,0.83,19,0.34
2020-07-21T16:54:43.700Z,hv72054062,-0.550000012,1.75,40,0.48
2020-07-21T16:54:30.980Z,hv72054057,33.08000183,2.14,20,0.93
2020-07-21T16:51:03.511Z,ak0209bzxboo,0.1,2.6,,
2020-07-21T16:50:06.940Z,nc73429051,23.15,1.85,20,0.44
2020-07-21T16:48:20.340Z,ci38601066,4.37,0.41,12,0.25
2020-07-21T16:47:36.650Z,ci38601058,5.33,0.9,32,0.29
2020-07-21T16:37:37.930Z,ci38601034,1.22,1.66,33,0.52
2020-07-21T16:29:35.140Z,ci38601026,1.05,2.06,43,0.36
2020-07-21T16:25:32.140Z,ci38601018,5.66,0.93,12,0.33
2020-07-21T16:18:43.009Z,ak0209bzqaq8,23.5,0.3,,
